task,condition,label,seed,planner,run_dir,goal_reached,collision,completion_reason,path_length_m,min_goal_distance,final_goal_distance,elapsed_s,mean_loc_error_m,mean_loc_nll,mean_loc_nees,mean_overconf,f_shadow,mean_rho_plan,path_efficiency,mean_cov_trace,yolo_detection_rate,mean_solve_time_ms,p90_solve_time_ms,valid_run,is_clean_success,is_near_success,is_collision,is_penetration,is_timeout,is_interrupted,is_invalid,goal_region_entered,max_obstacle_penetration_m,max_wall_penetration_m,n_rows,outcome
F31_b1_apron_a3_mid,C1,C1,0,constant_R_efe,/home/joostleliveld/Thesis/UnembodiedNavigation/logs/visibility_comparison/_paper_runs/robustness_campaign_keepout_lanegraph_v1/F31_b1_apron_a3_mid/C1/seed0/experiment_20260612_051834,1,0,goal_reached,4.979627,0.180826,0.180826,16.571000,0.208372,44.641903,100.396677,5.413719,0.335329,0.426264,0.719941,0.005310,0.727273,,0.000000,1,1,0,0,0,0,0,0,1,0.000000,0.000000,441,goal_reached
F31_b1_apron_a3_mid,C1,C1,1,constant_R_efe,/home/joostleliveld/Thesis/UnembodiedNavigation/logs/visibility_comparison/_paper_runs/robustness_campaign_keepout_lanegraph_v1/F31_b1_apron_a3_mid/C1/seed1/experiment_20260612_052028,0,1,collision,2.844048,1.433415,1.433415,6.699000,0.137241,17.551714,46.299484,3.361501,0.529412,0.425304,1.260541,0.002797,0.640000,,0.000000,0,0,0,1,1,0,0,0,0,0.004150,0.000000,391,collision
F31_b1_apron_a3_mid,C1,C1,2,constant_R_efe,/home/joostleliveld/Thesis/UnembodiedNavigation/logs/visibility_comparison/_paper_runs/robustness_campaign_keepout_lanegraph_v1/F31_b1_apron_a3_mid/C1/seed2/experiment_20260612_052218,1,0,goal_reached,5.234635,0.119081,0.119081,14.988000,0.152158,17.059032,44.982362,3.242217,0.437086,0.421460,0.684869,0.005669,0.706897,,0.000000,1,1,0,0,0,0,0,0,1,0.000000,0.000000,439,goal_reached
F31_b1_apron_a3_mid,C1,C1,3,constant_R_efe,/home/joostleliveld/Thesis/UnembodiedNavigation/logs/visibility_comparison/_paper_runs/robustness_campaign_keepout_lanegraph_v1/F31_b1_apron_a3_mid/C1/seed3/experiment_20260612_052416,1,0,goal_reached,4.623136,0.168475,0.233958,11.701000,0.136447,25.804324,62.023854,2.366844,0.457627,0.428075,0.775456,0.007062,0.642857,,0.000000,1,1,0,0,0,0,0,0,1,0.000000,0.000000,435,goal_reached
F31_b1_apron_a3_mid,C1,C1,4,constant_R_efe,/home/joostleliveld/Thesis/UnembodiedNavigation/logs/visibility_comparison/_paper_runs/robustness_campaign_keepout_lanegraph_v1/F31_b1_apron_a3_mid/C1/seed4/experiment_20260612_052620,0,1,collision,2.747820,1.483238,1.483238,6.185000,0.134258,20.928887,53.279116,3.492084,0.476190,0.461020,1.304684,0.002580,0.681818,,0.000000,0,0,0,1,1,0,0,0,0,0.011734,0.000000,382,collision
F31_b1_apron_a3_mid,C2,C2,0,visibility_aware_efe,/home/joostleliveld/Thesis/UnembodiedNavigation/logs/visibility_comparison/_paper_runs/robustness_campaign_keepout_lanegraph_v1/F31_b1_apron_a3_mid/C2/seed0/experiment_20260612_052827,1,0,goal_reached,6.295341,0.121502,0.175385,16.100000,0.142787,28.058062,68.235486,4.680297,0.000000,0.790894,0.569475,0.001003,1.000000,,0.000000,1,1,0,0,0,0,0,0,1,0.000000,0.000000,533,goal_reached
F31_b1_apron_a3_mid,C2,C2,1,visibility_aware_efe,/home/joostleliveld/Thesis/UnembodiedNavigation/logs/visibility_comparison/_paper_runs/robustness_campaign_keepout_lanegraph_v1/F31_b1_apron_a3_mid/C2/seed1/experiment_20260612_053042,1,0,goal_reached,7.682683,0.067101,0.127050,21.296000,0.170038,29.621289,70.728452,4.730925,0.079439,0.702267,0.466639,0.001451,1.000000,,0.000000,1,1,0,0,0,0,0,0,1,0.000000,0.000000,570,goal_reached
F31_b1_apron_a3_mid,C2,C2,2,visibility_aware_efe,/home/joostleliveld/Thesis/UnembodiedNavigation/logs/visibility_comparison/_paper_runs/robustness_campaign_keepout_lanegraph_v1/F31_b1_apron_a3_mid/C2/seed2/experiment_20260612_053320,0,0,stuck,5.753486,0.388225,0.466249,37.771000,0.375463,192.233276,396.589159,14.084339,0.184697,0.577864,0.623107,0.004533,0.850340,,0.000000,1,0,1,0,0,0,0,0,0,0.000000,0.000000,738,stuck
F31_b1_apron_a3_mid,C2,C2,3,visibility_aware_efe,/home/joostleliveld/Thesis/UnembodiedNavigation/logs/visibility_comparison/_paper_runs/robustness_campaign_keepout_lanegraph_v1/F31_b1_apron_a3_mid/C2/seed3/experiment_20260612_053614,0,1,collision,2.440013,3.585038,3.608595,9.298000,0.129323,145.863665,304.538493,4.634082,0.000000,0.838450,1.469270,0.000922,1.000000,,0.000000,0,0,0,1,1,0,0,0,0,0.004715,0.000000,447,collision
F31_b1_apron_a3_mid,C2,C2,4,visibility_aware_efe,/home/joostleliveld/Thesis/UnembodiedNavigation/logs/visibility_comparison/_paper_runs/robustness_campaign_keepout_lanegraph_v1/F31_b1_apron_a3_mid/C2/seed4/experiment_20260612_053835,1,0,goal_reached,6.253981,0.102685,0.153997,15.972000,0.129564,22.252275,56.628738,4.208486,0.000000,0.786136,0.573241,0.001032,1.000000,,0.000000,1,1,0,0,0,0,0,0,1,0.000000,0.000000,529,goal_reached
