epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,57.7048,2.39927,2.67418,8.3122,0.80147,0,0.9579,0.76852,0.83888,0.38,0.67086,0.53704,0.48089,0.11443,2.33652,2.88057,4.07446,0.76684,0,0.000658915,0.000658915,0.000658915
2,113.112,2.31398,2.06327,5.10686,0.79079,0,0.94772,0.83925,0.86441,0.4262,0.77435,0.68519,0.68871,0.22833,2.11033,1.99056,2.26592,0.76087,0,0.00128184,0.00128184,0.00128184
3,168.881,2.3293,1.84264,3.61966,0.77889,0,0.94836,0.85017,0.89196,0.42697,0.68189,0.69444,0.59542,0.15456,2.14538,3.43419,2.16437,0.74686,0,0.00186076,0.00186076,0.00186076
4,224.022,2.33959,1.86541,2.77814,0.77293,0,0.94842,0.85121,0.89975,0.43102,0.6759,0.65741,0.53971,0.14647,2.13445,3.13939,1.08948,0.75726,0,0.001802,0.001802,0.001802
5,278.662,2.3246,1.93718,2.35028,0.76836,0,1,0.02749,0.15235,0.05753,0.66156,0.01823,0.10285,0.02758,nan,nan,nan,nan,0,0.001736,0.001736,0.001736
6,334.305,2.36952,1.81555,2.00765,0.78818,0,0.91094,0.85238,0.87556,0.34766,0.51683,0.50926,0.34827,0.07856,2.48913,3.05985,0.86141,0.77119,0,0.00167,0.00167,0.00167
7,389.486,2.26511,1.99146,1.54294,0.77518,0,0.97242,0.88889,0.90093,0.43429,0.60409,0.61111,0.43723,0.10336,2.11187,2.98892,0.92255,0.74797,0,0.001604,0.001604,0.001604
8,442.81,2.15384,1.80877,1.3184,0.76826,0,0.9791,0.86753,0.91081,0.40118,0.68949,0.7037,0.57569,0.12795,2.3481,2.05776,0.81471,0.75487,0,0.001538,0.001538,0.001538
9,496.288,2.13883,1.60998,1.20881,0.77116,0,0.96601,0.88889,0.91083,0.48971,0.87815,0.81481,0.78604,0.26228,2.01204,1.34047,0.76799,0.75299,0,0.001472,0.001472,0.001472
10,550.369,2.0549,1.48996,1.05758,0.75999,0,0.99373,0.91667,0.93303,0.49909,0.77956,0.75926,0.66308,0.22095,2.04129,1.71072,0.72544,0.74621,0,0.001406,0.001406,0.001406
11,605.451,2.07637,1.6457,1.02406,0.76167,0,0.96985,0.89349,0.92185,0.49594,0.6827,0.65743,0.52804,0.12711,2.02843,2.01617,0.69868,0.74419,0,0.00134,0.00134,0.00134
12,662.833,2.04103,1.75331,0.92244,0.75288,0,1,0.89482,0.92924,0.51138,0.79002,0.74074,0.65751,0.17409,1.91971,2.20832,0.71757,0.74024,0,0.001274,0.001274,0.001274
13,720.641,1.99617,1.75183,0.87565,0.76128,0,0.97994,0.88889,0.93369,0.55095,0.69889,0.66623,0.61426,0.17066,1.9617,2.29818,0.73288,0.74075,0,0.001208,0.001208,0.001208
14,779.946,1.90971,1.70144,0.84054,0.74034,0,0.97759,0.92593,0.94153,0.55322,0.74769,0.71339,0.67451,0.19418,1.94748,2.24612,0.64421,0.73999,0,0.001142,0.001142,0.001142
15,840.035,1.92197,1.53193,0.8089,0.74178,0,0.98633,0.88889,0.90394,0.51359,0.77741,0.73148,0.66964,0.14987,1.95621,1.79012,0.67614,0.73773,0,0.001076,0.001076,0.001076
