route,safety_status,safe,reaches_goal,terminal_goal_distance_m,route_length_m,travel_time_s,min_body_clearance_m,obstacle_body_clearance_min_m,driveable_body_clearance_min_m,driveable_body_clearance_min_turn_m,driveable_path_clearance_min_m,mean_q,min_q,mean_r_plan_std_px,travel_cost,localization_cost,localization_cost_nat_s,ambiguity_raw_nat_s,goal_risk_cost,obstacle_cost,total_cost,total_cost_excl_obstacle,selected,task,condition,q_mode,r_mode,objective,footprint,gate_set,failed_gates,turn_angle_total_rad,terminal_belief_sigma_xy_m,ambiguity_reference_nat_s,goal_risk_cost_reference_R,goal_risk_cost_plan_R
below_main_aisle,"UNSAFE:body_obstacle_clearance,body_inside_driveable",False,True,0.0,7.279999999999999,18.7,-0.09999999999999964,-0.08000000000000007,-0.09999999999999964,0.04152560747942592,0.3000000000000007,1.0,1.0,2.5,0.0,568.2395528496547,0.0,87.33757451394767,15132.091642635738,212.52556918942145,15912.856764674814,15700.331195485393,False,occlusion_transit_a4,q=unity/R=constant_global,unity,constant_global,legacy_efe,spec_0.80x0.55,full,"body_obstacle_clearance,body_inside_driveable",6.283181633974483,1.2097778001419581,87.33757451394816,2259.4251719534864,2259.4251719534864
above_connector,"UNSAFE:body_obstacle_clearance,body_inside_driveable",False,True,0.0,7.199999999999999,15.4,-0.09999999999999964,-0.08000000000000007,-0.09999999999999964,0.10000000000000009,0.3000000000000007,1.0,1.0,2.5,0.0,502.42957466983967,0.0,71.925061364428,3257.17372120211,178.7445669140895,3938.347862786039,3759.6032958719497,False,occlusion_transit_a4,q=unity/R=constant_global,unity,constant_global,legacy_efe,spec_0.80x0.55,full,"body_obstacle_clearance,body_inside_driveable",3.1415963267948968,0.8311324009432685,71.9250613644279,456.42568811925344,456.42568811925344
below_main_aisle,UNSAFE:body_obstacle_clearance,False,True,0.0,7.279999999999999,18.7,-0.09999999999999964,-0.08000000000000007,-0.09999999999999964,0.04152560747942592,0.3000000000000007,1.0,1.0,2.5,0.0,568.2395528496547,0.0,87.33757451394767,15132.091642635738,212.52556918942145,15912.856764674814,15700.331195485393,False,occlusion_transit_a4,q=unity/R=constant_global,unity,constant_global,legacy_efe,spec_0.80x0.55,deployment,body_obstacle_clearance,6.283181633974483,1.2097778001419581,87.33757451394816,2259.4251719534864,2259.4251719534864
above_connector,UNSAFE:body_obstacle_clearance,False,True,0.0,7.199999999999999,15.4,-0.09999999999999964,-0.08000000000000007,-0.09999999999999964,0.10000000000000009,0.3000000000000007,1.0,1.0,2.5,0.0,502.42957466983967,0.0,71.925061364428,3257.17372120211,178.7445669140895,3938.347862786039,3759.6032958719497,False,occlusion_transit_a4,q=unity/R=constant_global,unity,constant_global,legacy_efe,spec_0.80x0.55,deployment,body_obstacle_clearance,3.1415963267948968,0.8311324009432685,71.9250613644279,456.42568811925344,456.42568811925344
below_main_aisle,SAFE,True,True,0.0,7.279999999999999,18.7,0.23000000000000043,0.25,0.23000000000000043,0.41359078289535756,0.3000000000000007,1.0,1.0,2.5,0.0,568.2395528496547,0.0,87.33757451394767,15132.091642635738,212.52556918942145,15912.856764674814,15700.331195485393,False,occlusion_transit_a4,q=unity/R=constant_global,unity,constant_global,legacy_efe,deployed_burger,full,,6.283181633974483,1.2097778001419581,87.33757451394816,2259.4251719534864,2259.4251719534864
above_connector,SAFE,True,True,0.0,7.199999999999999,15.4,0.23000000000000043,0.25,0.23000000000000043,0.4144828102587605,0.3000000000000007,1.0,1.0,2.5,0.0,502.42957466983967,0.0,71.925061364428,3257.17372120211,178.7445669140895,3938.347862786039,3759.6032958719497,True,occlusion_transit_a4,q=unity/R=constant_global,unity,constant_global,legacy_efe,deployed_burger,full,,3.1415963267948968,0.8311324009432685,71.9250613644279,456.42568811925344,456.42568811925344
below_main_aisle,SAFE,True,True,0.0,7.279999999999999,18.7,0.23000000000000043,0.25,0.23000000000000043,0.41359078289535756,0.3000000000000007,1.0,1.0,2.5,0.0,568.2395528496547,0.0,87.33757451394767,15132.091642635738,212.52556918942145,15912.856764674814,15700.331195485393,False,occlusion_transit_a4,q=unity/R=constant_global,unity,constant_global,legacy_efe,deployed_burger,deployment,,6.283181633974483,1.2097778001419581,87.33757451394816,2259.4251719534864,2259.4251719534864
above_connector,SAFE,True,True,0.0,7.199999999999999,15.4,0.23000000000000043,0.25,0.23000000000000043,0.4144828102587605,0.3000000000000007,1.0,1.0,2.5,0.0,502.42957466983967,0.0,71.925061364428,3257.17372120211,178.7445669140895,3938.347862786039,3759.6032958719497,True,occlusion_transit_a4,q=unity/R=constant_global,unity,constant_global,legacy_efe,deployed_burger,deployment,,3.1415963267948968,0.8311324009432685,71.9250613644279,456.42568811925344,456.42568811925344
below_main_aisle,"UNSAFE:body_obstacle_clearance,body_inside_driveable",False,True,0.0,7.279999999999999,18.7,-0.09999999999999964,-0.08000000000000007,-0.09999999999999964,0.04152560747942592,0.3000000000000007,1.0,1.0,2.5,18.7,0.0,0.0,87.33757451394767,0.0,0.0,18.7,18.7,False,occlusion_transit_a4,q=unity/R=constant_global,unity,constant_global,corrected_v2,spec_0.80x0.55,full,"body_obstacle_clearance,body_inside_driveable",6.283181633974483,1.2097778001419581,87.33757451394816,2259.4251719534864,2259.4251719534864
above_connector,"UNSAFE:body_obstacle_clearance,body_inside_driveable",False,True,0.0,7.199999999999999,15.4,-0.09999999999999964,-0.08000000000000007,-0.09999999999999964,0.10000000000000009,0.3000000000000007,1.0,1.0,2.5,15.4,0.0,0.0,71.925061364428,0.0,0.0,15.4,15.4,False,occlusion_transit_a4,q=unity/R=constant_global,unity,constant_global,corrected_v2,spec_0.80x0.55,full,"body_obstacle_clearance,body_inside_driveable",3.1415963267948968,0.8311324009432685,71.9250613644279,456.42568811925344,456.42568811925344
