task,condition,footprint,gate_set,legacy_selected,corrected_selected,selection_changed
control_west_to_a1_low,q=commissioned/R=commissioned,deployed_burger,deployment,below_main_aisle,below_main_aisle,False
control_west_to_a1_low,q=commissioned/R=commissioned,deployed_burger,full,below_main_aisle,below_main_aisle,False
control_west_to_a1_low,q=commissioned/R=commissioned,spec_0.80x0.55,deployment,below_main_aisle,below_main_aisle,False
control_west_to_a1_low,q=commissioned/R=commissioned,spec_0.80x0.55,full,<none>,<none>,False
control_west_to_a1_low,q=commissioned/R=constant_global,deployed_burger,deployment,below_main_aisle,below_main_aisle,False
control_west_to_a1_low,q=commissioned/R=constant_global,deployed_burger,full,below_main_aisle,below_main_aisle,False
control_west_to_a1_low,q=commissioned/R=constant_global,spec_0.80x0.55,deployment,below_main_aisle,below_main_aisle,False
control_west_to_a1_low,q=commissioned/R=constant_global,spec_0.80x0.55,full,<none>,<none>,False
control_west_to_a1_low,q=unity/R=commissioned,deployed_burger,deployment,below_main_aisle,below_main_aisle,False
control_west_to_a1_low,q=unity/R=commissioned,deployed_burger,full,below_main_aisle,below_main_aisle,False
control_west_to_a1_low,q=unity/R=commissioned,spec_0.80x0.55,deployment,below_main_aisle,below_main_aisle,False
control_west_to_a1_low,q=unity/R=commissioned,spec_0.80x0.55,full,<none>,<none>,False
control_west_to_a1_low,q=unity/R=constant_global,deployed_burger,deployment,below_main_aisle,below_main_aisle,False
control_west_to_a1_low,q=unity/R=constant_global,deployed_burger,full,below_main_aisle,below_main_aisle,False
control_west_to_a1_low,q=unity/R=constant_global,spec_0.80x0.55,deployment,below_main_aisle,below_main_aisle,False
control_west_to_a1_low,q=unity/R=constant_global,spec_0.80x0.55,full,<none>,<none>,False
occlusion_transit_a4,q=commissioned/R=commissioned,deployed_burger,deployment,below_main_aisle,below_main_aisle,False
occlusion_transit_a4,q=commissioned/R=commissioned,deployed_burger,full,below_main_aisle,below_main_aisle,False
occlusion_transit_a4,q=commissioned/R=commissioned,spec_0.80x0.55,deployment,<none>,<none>,False
occlusion_transit_a4,q=commissioned/R=commissioned,spec_0.80x0.55,full,<none>,<none>,False
occlusion_transit_a4,q=commissioned/R=constant_global,deployed_burger,deployment,above_connector,above_connector,False
occlusion_transit_a4,q=commissioned/R=constant_global,deployed_burger,full,above_connector,above_connector,False
occlusion_transit_a4,q=commissioned/R=constant_global,spec_0.80x0.55,deployment,<none>,<none>,False
occlusion_transit_a4,q=commissioned/R=constant_global,spec_0.80x0.55,full,<none>,<none>,False
