position_id,x_m,y_m,block_id,master_role,heading_phase_degrees,heading_degrees,camera_ids,geometry_visible_camera_ids
P0000,-8.0,-8.8,B01_00,commissioning_fit,11.154126,11.154126;56.154126;101.154126;146.154126;191.154126;236.154126;281.154126;326.154126,camera_A;camera_B;camera_C;camera_D;camera_E,camera_B;camera_C
P0001,-7.6,-8.8,B01_00,commissioning_fit,11.154126,11.154126;56.154126;101.154126;146.154126;191.154126;236.154126;281.154126;326.154126,camera_A;camera_B;camera_C;camera_D;camera_E,camera_B;camera_C
P0002,-6.8,-8.8,B01_00,commissioning_fit,11.154126,11.154126;56.154126;101.154126;146.154126;191.154126;236.154126;281.154126;326.154126,camera_A;camera_B;camera_C;camera_D;camera_E,camera_B;camera_C
P0003,-6.0,-8.8,B01_00,commissioning_fit,11.154126,11.154126;56.154126;101.154126;146.154126;191.154126;236.154126;281.154126;326.154126,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_B;camera_C
P0004,-5.2,-8.8,B02_00,commissioning_fit,26.428536,26.428536;71.428536;116.428536;161.428536;206.428536;251.428536;296.428536;341.428536,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A
P0005,-1.2,-8.8,B03_00,commissioning_fit,25.185367,25.185367;70.185367;115.185367;160.185367;205.185367;250.185367;295.185367;340.185367,camera_A;camera_B;camera_C;camera_D;camera_E,camera_E
P0006,0.0,-8.8,B03_00,commissioning_fit,25.185367,25.185367;70.185367;115.185367;160.185367;205.185367;250.185367;295.185367;340.185367,camera_A;camera_B;camera_C;camera_D;camera_E,camera_E
P0007,1.2,-8.8,B04_00,commissioning_fit,42.777114,42.777114;87.777114;132.777114;177.777114;222.777114;267.777114;312.777114;357.777114,camera_A;camera_B;camera_C;camera_D;camera_E,camera_E
P0008,2.0,-8.8,B04_00,commissioning_fit,42.777114,42.777114;87.777114;132.777114;177.777114;222.777114;267.777114;312.777114;357.777114,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A
P0009,6.0,-8.8,B05_00,final_audit,43.723894,43.723894;88.723894;133.723894;178.723894;223.723894;268.723894;313.723894;358.723894,camera_A;camera_B;camera_C;camera_D;camera_E,camera_E
P0010,6.4,-8.8,B05_00,final_audit,43.723894,43.723894;88.723894;133.723894;178.723894;223.723894;268.723894;313.723894;358.723894,camera_A;camera_B;camera_C;camera_D;camera_E,camera_E
P0011,7.2,-8.8,B06_00,commissioning_fit,21.335466,21.335466;66.335466;111.335466;156.335466;201.335466;246.335466;291.335466;336.335466,camera_A;camera_B;camera_C;camera_D;camera_E,camera_E
P0012,8.0,-8.8,B06_00,commissioning_fit,21.335466,21.335466;66.335466;111.335466;156.335466;201.335466;246.335466;291.335466;336.335466,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_E
P0013,8.4,-8.8,B06_00,commissioning_fit,21.335466,21.335466;66.335466;111.335466;156.335466;201.335466;246.335466;291.335466;336.335466,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_E
P0014,8.8,-8.8,B06_00,commissioning_fit,21.335466,21.335466;66.335466;111.335466;156.335466;201.335466;246.335466;291.335466;336.335466,camera_A;camera_B;camera_C;camera_D;camera_E,camera_D;camera_E
P0015,9.6,-8.8,B06_00,commissioning_fit,21.335466,21.335466;66.335466;111.335466;156.335466;201.335466;246.335466;291.335466;336.335466,camera_A;camera_B;camera_C;camera_D;camera_E,camera_D;camera_E
P0016,10.0,-8.8,B06_00,commissioning_fit,21.335466,21.335466;66.335466;111.335466;156.335466;201.335466;246.335466;291.335466;336.335466,camera_A;camera_B;camera_C;camera_D;camera_E,camera_D
P0017,10.4,-8.8,B07_00,detector_fit,15.709319,15.709319;60.709319;105.709319;150.709319;195.709319;240.709319;285.709319;330.709319,camera_A;camera_B;camera_C;camera_D;camera_E,
P0018,10.8,-8.8,B07_00,detector_fit,15.709319,15.709319;60.709319;105.709319;150.709319;195.709319;240.709319;285.709319;330.709319,camera_A;camera_B;camera_C;camera_D;camera_E,
P0019,-8.0,-8.4,B01_00,commissioning_fit,11.154126,11.154126;56.154126;101.154126;146.154126;191.154126;236.154126;281.154126;326.154126,camera_A;camera_B;camera_C;camera_D;camera_E,camera_B;camera_C
P0020,-7.2,-8.4,B01_00,commissioning_fit,11.154126,11.154126;56.154126;101.154126;146.154126;191.154126;236.154126;281.154126;326.154126,camera_A;camera_B;camera_C;camera_D;camera_E,camera_B;camera_C
P0021,-6.4,-8.4,B01_00,commissioning_fit,11.154126,11.154126;56.154126;101.154126;146.154126;191.154126;236.154126;281.154126;326.154126,camera_A;camera_B;camera_C;camera_D;camera_E,camera_B;camera_C
P0022,-6.0,-8.4,B01_00,commissioning_fit,11.154126,11.154126;56.154126;101.154126;146.154126;191.154126;236.154126;281.154126;326.154126,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_B;camera_C
P0023,-5.6,-8.4,B02_00,commissioning_fit,26.428536,26.428536;71.428536;116.428536;161.428536;206.428536;251.428536;296.428536;341.428536,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A
P0024,-1.2,-8.4,B03_00,commissioning_fit,25.185367,25.185367;70.185367;115.185367;160.185367;205.185367;250.185367;295.185367;340.185367,camera_A;camera_B;camera_C;camera_D;camera_E,camera_E
P0025,-0.4,-8.4,B03_00,commissioning_fit,25.185367,25.185367;70.185367;115.185367;160.185367;205.185367;250.185367;295.185367;340.185367,camera_A;camera_B;camera_C;camera_D;camera_E,camera_E
P0026,0.8,-8.4,B04_00,commissioning_fit,42.777114,42.777114;87.777114;132.777114;177.777114;222.777114;267.777114;312.777114;357.777114,camera_A;camera_B;camera_C;camera_D;camera_E,camera_E
P0027,1.6,-8.4,B04_00,commissioning_fit,42.777114,42.777114;87.777114;132.777114;177.777114;222.777114;267.777114;312.777114;357.777114,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A
P0028,6.0,-8.4,B05_00,final_audit,43.723894,43.723894;88.723894;133.723894;178.723894;223.723894;268.723894;313.723894;358.723894,camera_A;camera_B;camera_C;camera_D;camera_E,camera_E
P0029,6.4,-8.4,B05_00,final_audit,43.723894,43.723894;88.723894;133.723894;178.723894;223.723894;268.723894;313.723894;358.723894,camera_A;camera_B;camera_C;camera_D;camera_E,camera_E
P0030,7.2,-8.4,B06_00,commissioning_fit,21.335466,21.335466;66.335466;111.335466;156.335466;201.335466;246.335466;291.335466;336.335466,camera_A;camera_B;camera_C;camera_D;camera_E,camera_E
P0031,8.0,-8.4,B06_00,commissioning_fit,21.335466,21.335466;66.335466;111.335466;156.335466;201.335466;246.335466;291.335466;336.335466,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_E
P0032,8.4,-8.4,B06_00,commissioning_fit,21.335466,21.335466;66.335466;111.335466;156.335466;201.335466;246.335466;291.335466;336.335466,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_E
P0033,8.8,-8.4,B06_00,commissioning_fit,21.335466,21.335466;66.335466;111.335466;156.335466;201.335466;246.335466;291.335466;336.335466,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_D;camera_E
P0034,9.6,-8.4,B06_00,commissioning_fit,21.335466,21.335466;66.335466;111.335466;156.335466;201.335466;246.335466;291.335466;336.335466,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_D;camera_E
P0035,10.0,-8.4,B06_00,commissioning_fit,21.335466,21.335466;66.335466;111.335466;156.335466;201.335466;246.335466;291.335466;336.335466,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_D;camera_E
P0036,10.4,-8.4,B07_00,detector_fit,15.709319,15.709319;60.709319;105.709319;150.709319;195.709319;240.709319;285.709319;330.709319,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_D
P0037,10.8,-8.4,B07_00,detector_fit,15.709319,15.709319;60.709319;105.709319;150.709319;195.709319;240.709319;285.709319;330.709319,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A
P0038,-8.0,-8.0,B01_00,commissioning_fit,11.154126,11.154126;56.154126;101.154126;146.154126;191.154126;236.154126;281.154126;326.154126,camera_A;camera_B;camera_C;camera_D;camera_E,camera_B;camera_C
P0039,-7.6,-8.0,B01_00,commissioning_fit,11.154126,11.154126;56.154126;101.154126;146.154126;191.154126;236.154126;281.154126;326.154126,camera_A;camera_B;camera_C;camera_D;camera_E,camera_B;camera_C
P0040,-6.8,-8.0,B01_00,commissioning_fit,11.154126,11.154126;56.154126;101.154126;146.154126;191.154126;236.154126;281.154126;326.154126,camera_A;camera_B;camera_C;camera_D;camera_E,camera_B;camera_C
P0041,-6.0,-8.0,B01_00,commissioning_fit,11.154126,11.154126;56.154126;101.154126;146.154126;191.154126;236.154126;281.154126;326.154126,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A;camera_B;camera_C
P0042,-5.6,-8.0,B02_00,commissioning_fit,26.428536,26.428536;71.428536;116.428536;161.428536;206.428536;251.428536;296.428536;341.428536,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A
P0043,-1.2,-8.0,B03_00,commissioning_fit,25.185367,25.185367;70.185367;115.185367;160.185367;205.185367;250.185367;295.185367;340.185367,camera_A;camera_B;camera_C;camera_D;camera_E,camera_B;camera_E
P0044,0.0,-8.0,B03_00,commissioning_fit,25.185367,25.185367;70.185367;115.185367;160.185367;205.185367;250.185367;295.185367;340.185367,camera_A;camera_B;camera_C;camera_D;camera_E,camera_E
P0045,0.8,-8.0,B04_00,commissioning_fit,42.777114,42.777114;87.777114;132.777114;177.777114;222.777114;267.777114;312.777114;357.777114,camera_A;camera_B;camera_C;camera_D;camera_E,camera_D;camera_E
P0046,1.6,-8.0,B04_00,commissioning_fit,42.777114,42.777114;87.777114;132.777114;177.777114;222.777114;267.777114;312.777114;357.777114,camera_A;camera_B;camera_C;camera_D;camera_E,camera_A
P0047,6.0,-8.0,B05_00,final_audit,43.723894,43.723894;88.723894;133.723894;178.723894;223.723894;268.723894;313.723894;358.723894,camera_A;camera_B;camera_C;camera_D;camera_E,camera_E
P0048,6.8,-8.0,B05_00,final_audit,43.723894,43.723894;88.723894;133.723894;178.723894;223.723894;268.723894;313.723894;358.723894,camera_A;camera_B;camera_C;camera_D;camera_E,camera_E
