condition,from_x,from_y,global_ambiguity_cost,global_drive_barrier_cost,global_optimizer_success,global_path_length_m,global_result_solve_s,global_risk_cost,global_rollout_valid,global_selected_source,global_solve_wall_s,global_terminal_goal_distance_m,global_total_cost,local_path_length_m,local_result_solve_s,local_segments_timed,local_selected_source,local_solve_max_s,local_solve_median_s,local_solve_min_s,local_solve_s,local_solve_times_json,local_terminal_goal_distance_m,local_total_cost,n_waypoints,planner_kind,segment,to_x,to_y,waypoints_json
C1 constant-R,,,1497.1028559395804,499.1720492790903,1,6.802471688405601,21.11528884107247,207.53328614202283,1,solver:lateral_-1.00,21.11535159999039,0.048942659512206395,2203.808191360694,,,5,,1.3792340810177848,0.8917845300165936,0.7478548979852349,,"[1.379, 0.82, 0.748, 0.892, 0.927]",,,8,constant_R_efe,,,,"[[3.119, -0.426], [3.089, 0.572], [2.922, 1.37], [2.055, 1.738], [1.06, 1.738], [0.943, 1.717], [1.03, 1.71], [0.991, 1.702]]"
C1 constant-R,3.2,-1.0,1497.1028559395804,499.1720492790903,1,6.802471688405601,21.11528884107247,207.53328614202283,1,solver:lateral_-1.00,21.11535159999039,0.048942659512206395,2203.808191360694,0.5955673558488739,1.3791672739898786,5,solver:warm_or_cold,1.3792340810177848,0.8917845300165936,0.7478548979852349,1.3792340810177848,"[1.379, 0.82, 0.748, 0.892, 0.927]",0.04470882454498338,204.52776114125746,8,constant_R_efe,1,3.118814235025867,-0.42574848397918297,"[[3.119, -0.426], [3.089, 0.572], [2.922, 1.37], [2.055, 1.738], [1.06, 1.738], [0.943, 1.717], [1.03, 1.71], [0.991, 1.702]]"
C1 constant-R,3.118814235025867,-0.42574848397918297,1497.1028559395804,499.1720492790903,1,6.802471688405601,21.11528884107247,207.53328614202283,1,solver:lateral_-1.00,21.11535159999039,0.048942659512206395,2203.808191360694,1.124462652376978,0.8200327830854803,5,solver:warm_or_cold,1.3792340810177848,0.8917845300165936,0.7478548979852349,0.8201284300303087,"[1.379, 0.82, 0.748, 0.892, 0.927]",0.014606941357711256,232.42833220674902,8,constant_R_efe,2,3.0888940305006107,0.5720392379642202,"[[3.119, -0.426], [3.089, 0.572], [2.922, 1.37], [2.055, 1.738], [1.06, 1.738], [0.943, 1.717], [1.03, 1.71], [0.991, 1.702]]"
C1 constant-R,3.0888940305006107,0.5720392379642202,1497.1028559395804,499.1720492790903,1,6.802471688405601,21.11528884107247,207.53328614202283,1,solver:lateral_-1.00,21.11535159999039,0.048942659512206395,2203.808191360694,0.9655988390134258,0.7478051970247179,5,solver:warm_or_cold,1.3792340810177848,0.8917845300165936,0.7478548979852349,0.7478548979852349,"[1.379, 0.82, 0.748, 0.892, 0.927]",0.18725939240796688,225.15887111254133,8,constant_R_efe,3,2.922479673932202,1.3701060957855136,"[[3.119, -0.426], [3.089, 0.572], [2.922, 1.37], [2.055, 1.738], [1.06, 1.738], [0.943, 1.717], [1.03, 1.71], [0.991, 1.702]]"
C1 constant-R,2.922479673932202,1.3701060957855136,1497.1028559395804,499.1720492790903,1,6.802471688405601,21.11528884107247,207.53328614202283,1,solver:lateral_-1.00,21.11535159999039,0.048942659512206395,2203.808191360694,1.0480681001517338,0.8917384950909764,5,solver:warm_or_cold,1.3792340810177848,0.8917845300165936,0.7478548979852349,0.8917845300165936,"[1.379, 0.82, 0.748, 0.892, 0.927]",0.015694680759861454,415.5754102826037,8,constant_R_efe,4,2.054526755805521,1.7384254513950133,"[[3.119, -0.426], [3.089, 0.572], [2.922, 1.37], [2.055, 1.738], [1.06, 1.738], [0.943, 1.717], [1.03, 1.71], [0.991, 1.702]]"
C1 constant-R,2.054526755805521,1.7384254513950133,1497.1028559395804,499.1720492790903,1,6.802471688405601,21.11528884107247,207.53328614202283,1,solver:lateral_-1.00,21.11535159999039,0.048942659512206395,2203.808191360694,1.0687723782562564,0.9270351390587166,5,solver:warm_or_cold,1.3792340810177848,0.8917845300165936,0.7478548979852349,0.9270963580347598,"[1.379, 0.82, 0.748, 0.892, 0.927]",0.03619118712468493,259.12716701570395,8,constant_R_efe,5,1.0598595839903506,1.7379366071967768,"[[3.119, -0.426], [3.089, 0.572], [2.922, 1.37], [2.055, 1.738], [1.06, 1.738], [0.943, 1.717], [1.03, 1.71], [0.991, 1.702]]"
C2 visibility-aware,,,1666.6980487352241,496.93056984327075,1,8.273831212487618,39.74393628700636,342.7923187608002,1,solver:route:lower_sweep_lane,39.74399642692879,0.08703219790133454,2506.420937339295,,,6,,1.3590132570825517,1.0015392944333144,0.565114417928271,,"[1.359, 0.973, 1.03, 1.084, 0.678, 0.565]",,,9,visibility_aware_efe,,,,"[[3.012, -1.462], [2.328, -2.113], [1.392, -1.89], [1.024, -0.987], [0.997, 0.046], [1.076, 0.981], [1.038, 1.783], [1.101, 1.658], [0.969, 1.669]]"
C2 visibility-aware,3.2,-1.0,1666.6980487352241,496.93056984327075,1,8.273831212487618,39.74393628700636,342.7923187608002,1,solver:route:lower_sweep_lane,39.74399642692879,0.08703219790133454,2506.420937339295,0.4788342004339111,1.3589310379466042,6,solver:warm_or_cold,1.3590132570825517,1.0015392944333144,0.565114417928271,1.3590132570825517,"[1.359, 0.973, 1.03, 1.084, 0.678, 0.565]",0.0613362122851384,184.7660589408986,9,visibility_aware_efe,1,3.011988101681815,-1.461525238037605,"[[3.012, -1.462], [2.328, -2.113], [1.392, -1.89], [1.024, -0.987], [0.997, 0.046], [1.076, 0.981], [1.038, 1.783], [1.101, 1.658], [0.969, 1.669]]"
C2 visibility-aware,3.011988101681815,-1.461525238037605,1666.6980487352241,496.93056984327075,1,8.273831212487618,39.74393628700636,342.7923187608002,1,solver:route:lower_sweep_lane,39.74399642692879,0.08703219790133454,2506.420937339295,1.0242522711638347,0.9727201811037958,6,solver:warm_or_cold,1.3590132570825517,1.0015392944333144,0.565114417928271,0.9728038659086451,"[1.359, 0.973, 1.03, 1.084, 0.678, 0.565]",0.08533565782918721,256.60548524625534,9,visibility_aware_efe,2,2.3276345509164726,-2.112744467826007,"[[3.012, -1.462], [2.328, -2.113], [1.392, -1.89], [1.024, -0.987], [0.997, 0.046], [1.076, 0.981], [1.038, 1.783], [1.101, 1.658], [0.969, 1.669]]"
C2 visibility-aware,2.3276345509164726,-2.112744467826007,1666.6980487352241,496.93056984327075,1,8.273831212487618,39.74393628700636,342.7923187608002,1,solver:route:lower_sweep_lane,39.74399642692879,0.08703219790133454,2506.420937339295,1.0296078467145544,1.030193647951819,6,solver:warm_or_cold,1.3590132570825517,1.0015392944333144,0.565114417928271,1.0302747229579836,"[1.359, 0.973, 1.03, 1.084, 0.678, 0.565]",0.1210071556060952,306.0547576498951,9,visibility_aware_efe,3,1.3923677057738122,-1.8904361352955172,"[[3.012, -1.462], [2.328, -2.113], [1.392, -1.89], [1.024, -0.987], [0.997, 0.046], [1.076, 0.981], [1.038, 1.783], [1.101, 1.658], [0.969, 1.669]]"
